station,date,prcp,tobs,month
USC00519397,2010-01-01,0.08,65,01
USC00519397,2010-01-02,0.0,63,01
USC00519397,2010-01-03,0.0,74,01
USC00519397,2010-01-04,0.0,76,01
USC00519397,2010-01-06,0.0,73,01
USC00519397,2010-01-07,0.06,70,01
USC00519397,2010-01-08,0.0,64,01
USC00519397,2010-01-09,0.0,68,01
USC00519397,2010-01-10,0.0,73,01
USC00519397,2010-01-11,0.01,64,01
USC00519397,2010-01-12,0.0,61,01
USC00519397,2010-01-14,0.0,66,01
USC00519397,2010-01-15,0.0,65,01
USC00519397,2010-01-16,0.0,68,01
USC00519397,2010-01-17,0.0,64,01
USC00519397,2010-01-18,0.0,72,01
USC00519397,2010-01-19,0.0,66,01
USC00519397,2010-01-20,0.0,66,01
USC00519397,2010-01-21,0.0,69,01
USC00519397,2010-01-22,0.0,67,01
USC00519397,2010-01-23,0.0,67,01
USC00519397,2010-01-24,0.01,71,01
USC00519397,2010-01-25,0.0,67,01
USC00519397,2010-01-26,0.04,76,01
USC00519397,2010-01-27,0.12,68,01
USC00519397,2010-01-28,0.0,72,01
USC00519397,2010-01-30,0.0,70,01
USC00519397,2010-01-31,0.03,67,01
USC00519397,2010-02-01,0.01,66,02
USC00519397,2010-02-03,0.0,67,02
USC00519397,2010-02-04,0.01,69,02
USC00519397,2010-02-05,0.0,67,02
USC00519397,2010-02-06,0.0,67,02
USC00519397,2010-02-07,0.0,64,02
USC00519397,2010-02-08,0.0,69,02
USC00519397,2010-02-09,0.0,73,02
USC00519397,2010-02-11,0.0,73,02
USC00519397,2010-02-12,0.02,69,02
USC00519397,2010-02-13,0.01,69,02
USC00519397,2010-02-14,0.0,69,02
USC00519397,2010-02-15,0.0,71,02
USC00519397,2010-02-16,0.0,61,02
USC00519397,2010-02-17,0.0,69,02
USC00519397,2010-02-19,0.0,63,02
USC00519397,2010-02-20,0.03,64,02
USC00519397,2010-02-21,0.0,65,02
USC00519397,2010-02-22,0.0,67,02
USC00519397,2010-02-23,0.0,68,02
USC00519397,2010-02-24,0.0,65,02
USC00519397,2010-02-25,0.0,76,02
USC00519397,2010-02-26,0.0,75,02
USC00519397,2010-02-28,0.0,66,02
USC00519397,2010-03-01,0.01,70,03
USC00519397,2010-03-02,0.0,72,03
USC00519397,2010-03-03,0.0,73,03
USC00519397,2010-03-04,0.12,70,03
USC00519397,2010-03-05,0.08,71,03
USC00519397,2010-03-06,0.03,72,03
USC00519397,2010-03-07,0.0,72,03
USC00519397,2010-03-08,0.43,69,03
USC00519397,2010-03-09,0.06,70,03
USC00519397,2010-03-11,0.0,73,03
USC00519397,2010-03-12,0.0,72,03
USC00519397,2010-03-13,0.0,73,03
USC00519397,2010-03-14,0.0,70,03
USC00519397,2010-03-15,0.06,71,03
USC00519397,2010-03-17,0.0,68,03
USC00519397,2010-03-18,0.0,70,03
USC00519397,2010-03-21,0.0,72,03
USC00519397,2010-03-22,0.0,69,03
USC00519397,2010-03-23,0.0,68,03
USC00519397,2010-03-24,0.0,74,03
USC00519397,2010-03-26,0.0,72,03
USC00519397,2010-03-27,0.0,72,03
USC00519397,2010-03-28,0.0,73,03
USC00519397,2010-03-29,0.0,74,03
USC00519397,2010-03-30,0.0,73,03
USC00519397,2010-03-31,0.0,73,03
USC00519397,2010-04-01,0.0,74,04
USC00519397,2010-04-02,0.01,74,04
USC00519397,2010-04-03,0.17,74,04
USC00519397,2010-04-04,0.15,71,04
